datetime,open,high,low,close
2025-08-22 13:00:00,3329.16,3330.62,3327.02,3328.54
2025-08-22 14:00:00,3328.55,3332.38,3324.74,3325
2025-08-22 15:00:00,3325,3327.47,3324.35,3325.61
2025-08-22 16:00:00,3325.61,3325.72,3323.28,3324.65
2025-08-22 17:00:00,3324.79,3332,3323.9,3323.99
2025-08-22 18:00:00,3324,3326.65,3323.06,3325.07
2025-08-22 19:00:00,3325.23,3328.02,3324.84,3326.92
2025-08-22 20:00:00,3326.92,3327.25,3326.16,3326.71
2025-08-22 21:00:00,3326.72,3326.72,3323.32,3324.32
2025-08-22 22:00:00,3324.32,3324.92,3318.28,3319.71
2025-08-22 23:00:00,3319.71,3328.75,3319.7,3327.29
2025-08-23 00:00:00,3327.29,3360.68,3327.29,3359.73
2025-08-23 01:00:00,3359.73,3363.43,3351,3351.95
2025-08-23 02:00:00,3352.19,3356.82,3352.01,3354.69
2025-08-23 03:00:00,3354.69,3361.44,3354.69,3360.43
2025-08-23 04:00:00,3360.44,3363.35,3360.09,3361.12
2025-08-23 05:00:00,3361.13,3362.49,3360.29,3361.37
2025-08-23 06:00:00,3361.36,3363.42,3361.13,3363.42
2025-08-23 07:00:00,3363.43,3365.5,3359.53,3364.66
2025-08-23 08:00:00,3364.64,3364.64,3360,3363.44
2025-08-23 09:00:00,3363.6,3365.06,3363.33,3364.74
2025-08-23 10:00:00,3364.74,3366.18,3360,3360.67
2025-08-23 11:00:00,3360.67,3360.73,3358.58,3358.79
2025-08-23 12:00:00,3358.79,3360.09,3358.59,3358.87
2025-08-23 13:00:00,3358.86,3360.56,3358.86,3360.17
2025-08-23 14:00:00,3360.11,3360.11,3345.51,3356.08
2025-08-23 15:00:00,3356.09,3357.6,3354.35,3357.6
2025-08-23 16:00:00,3357.6,3358.88,3357.37,3357.78
2025-08-23 17:00:00,3357.77,3358.31,3356.92,3358.31
2025-08-23 18:00:00,3358.3,3359.76,3357.87,3359.75
2025-08-23 19:00:00,3359.76,3360.69,3359.75,3360.42
2025-08-23 20:00:00,3360.43,3360.69,3360.42,3360.69
2025-08-23 21:00:00,3360.69,3360.69,3360.49,3360.67
2025-08-23 22:00:00,3360.68,3360.68,3357.02,3358.83
2025-08-23 23:00:00,3358.82,3360.69,3358.74,3359.72
2025-08-25 07:00:00,3358.02,3358.02,3355.32,3356.81
2025-08-25 08:00:00,3356.8,3358.25,3356.04,3357.49
2025-08-25 09:00:00,3357.54,3361.5,3357.06,3360.81
2025-08-25 10:00:00,3360.81,3360.81,3354.83,3355.54
2025-08-25 11:00:00,3355.76,3358.21,3353.14,3353.23
2025-08-25 12:00:00,3353.29,3356.78,3352.54,3356.56
2025-08-25 13:00:00,3356.56,3366.68994,3356.56,3358.87
2025-08-25 14:00:00,3358.88,3358.88,3356.77,3357.4
2025-08-25 15:00:00,3357.39,3357.4,3356.02,3356.23
2025-08-25 16:00:00,3356.23,3358.85,3356.1,3357.95
2025-08-25 17:00:00,3357.94,3358.56,3355.16,3356
2025-08-25 18:00:00,3356,3356.17,3351.99,3353.31
2025-08-25 19:00:00,3353.28,3356.09,3353.27,3356.08
2025-08-25 20:00:00,3356.09,3359.14,3355.16,3356.68
2025-08-25 21:00:00,3356.69,3361.5,3356.67,3361.24
